municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
1504752,Mojuí dos Campos,Pará,fixed,2019,1,4.04725,1.2388124999999999,87.125,16
1504802,Monte Alegre,Pará,fixed,2019,1,6.63913888888889,6.640611111111111,68.52777777777777,36
1504901,Muaná,Pará,fixed,2019,1,3.809333333333333,3.5,20.666666666666668,12
1504976,Nova Ipixuna,Pará,fixed,2019,1,39.295587786259546,21.058496183206103,8.961832061068701,131
1505007,Nova Timboteua,Pará,fixed,2019,1,10.861722222222223,11.176277777777777,54.388888888888886,36
1505031,Novo Progresso,Pará,fixed,2019,1,1.619137203166227,1.5072110817941955,63.64116094986807,379
1505064,Novo Repartimento,Pará,fixed,2019,1,5.233052631578946,8.847315789473683,50.68421052631579,19
1505106,Óbidos,Pará,fixed,2019,1,4.475125,5.1728749999999994,63.5,8
1505304,Oriximiná,Pará,fixed,2019,1,5.2585,3.295785714285714,54.57142857142857,14
1505403,Ourém,Pará,fixed,2019,1,7.045129032258066,7.11,87.85483870967742,62
1505437,Ourilândia do Norte,Pará,fixed,2019,1,24.93035545023697,11.581542654028434,21.372037914691944,422
1505486,Pacajá,Pará,fixed,2019,1,15.59510975609756,16.201060975609757,78.78048780487805,82
1505494,Palestina do Pará,Pará,fixed,2019,1,8.877457142857143,4.102428571428572,8.257142857142858,35
1505502,Paragominas,Pará,fixed,2019,1,23.638127822426334,15.461860696517412,25.054726368159205,2613
1505536,Parauapebas,Pará,fixed,2019,1,16.68942470238095,9.026019345238096,55.33452380952381,3360
1505551,Pau D'Arco,Pará,fixed,2019,1,4.4,0.97,23.0,1
1505601,Peixe-Boi,Pará,fixed,2019,1,9.454666666666668,8.872562499999999,85.29166666666667,48
1505635,Piçarra,Pará,fixed,2019,1,3.1786000000000003,3.5154000000000005,146.6,10
1505650,Placas,Pará,fixed,2019,1,5.349137931034483,6.7332413793103445,62.93103448275862,29
1505700,Ponta de Pedras,Pará,fixed,2019,1,1.343625,0.48424999999999996,1014.625,8
